time_recorded,lat,lon,total_gps_pings,n_buses,busy_index
07:50:00,32.057,34.865,11,2,0.5
07:50:00,32.058,34.835,25,6,0.4
07:50:00,32.059,34.835,6,2,0.3
07:50:00,32.061,34.774,9,2,0.4
07:50:00,32.062,34.828,11,2,0.5
07:50:00,32.063,34.828,22,3,0.7
07:50:00,32.065,34.776,7,2,0.3
07:50:00,32.07,34.914,7,2,0.3
07:50:00,32.071,34.838,7,2,0.3
07:50:00,32.075,34.791,14,4,0.3
07:50:00,32.076,34.791,9,2,0.4
07:50:00,32.078,34.778,11,2,0.5
07:50:00,32.078,34.889,6,2,0.3
07:50:00,32.079,34.815,12,2,0.6
07:50:00,32.08,34.834,12,3,0.4
07:50:00,32.081,34.774,10,3,0.3
07:50:00,32.081,34.809,11,3,0.3
07:50:00,32.081,34.812,6,2,0.3
07:50:00,32.081,34.835,10,2,0.5
07:50:00,32.082,34.795,12,4,0.3
07:50:00,32.082,34.805,9,3,0.3
07:50:00,32.083,34.796,14,2,0.7
07:50:00,32.083,34.805,10,3,0.3
07:50:00,32.083,34.829,7,2,0.3
07:50:00,32.084,34.788,18,3,0.6
07:50:00,32.084,34.803,6,2,0.3
07:50:00,32.084,34.806,14,3,0.4
07:50:00,32.084,34.807,13,3,0.4
07:50:00,32.084,34.808,7,2,0.3
07:50:00,32.085,34.815,7,2,0.3
07:50:00,32.086,34.888,6,2,0.3
07:50:00,32.088,34.807,6,2,0.3
07:50:00,32.088,34.893,9,2,0.4
07:50:00,32.09,34.81,7,2,0.3
07:50:00,32.09,34.819,12,2,0.6
07:50:00,32.09,34.82,8,2,0.4
07:50:00,32.09,34.821,6,2,0.3
07:50:00,32.091,34.847,8,2,0.4
07:50:00,32.091,34.87,15,3,0.5
07:50:00,32.091,34.871,9,2,0.4
07:50:00,32.092,34.828,8,2,0.4
07:50:00,32.092,34.847,15,4,0.3
07:50:00,32.092,34.862,6,2,0.3
07:50:00,32.092,34.863,51,14,0.3
07:50:00,32.092,34.864,49,11,0.4
07:50:00,32.092,34.865,22,4,0.5
07:50:00,32.092,34.866,41,12,0.3
07:50:00,32.093,34.837,8,2,0.4
07:50:00,32.094,34.882,13,4,0.3
07:50:00,32.094,34.884,8,2,0.4
07:50:00,32.095,34.886,11,3,0.3
07:50:00,32.095,34.887,17,5,0.3
07:50:00,32.096,34.835,6,2,0.3
07:50:00,32.098,34.836,9,2,0.4
07:50:00,32.098,34.883,7,2,0.3
07:50:00,32.103,34.828,17,2,0.8
07:50:00,32.105,34.804,6,2,0.3
07:50:00,32.105,34.891,18,2,0.9
07:50:00,32.109,34.827,6,2,0.3
07:50:00,32.124,34.855,6,2,0.3
07:50:00,32.158,34.81,13,4,0.3
07:50:00,32.159,34.811,10,3,0.3
08:00:00,31.917,35.08,20,3,0.6
08:00:00,31.999,34.763,7,2,0.3
08:00:00,32.027,34.774,6,2,0.3
08:00:00,32.043,34.843,16,2,0.8
08:00:00,32.046,34.815,6,2,0.3
08:00:00,32.051,34.849,11,2,0.5
08:00:00,32.055,34.834,6,2,0.3
08:00:00,32.056,34.78,6,2,0.3
08:00:00,32.057,34.834,16,5,0.3
08:00:00,32.057,34.847,8,2,0.4
08:00:00,32.058,34.835,13,4,0.3
08:00:00,32.058,34.847,9,2,0.4
08:00:00,32.059,34.828,10,2,0.5
08:00:00,32.062,34.773,7,2,0.3
08:00:00,32.062,34.828,17,3,0.5
08:00:00,32.063,34.828,15,3,0.5
08:00:00,32.067,34.765,12,2,0.6
08:00:00,32.074,34.791,22,5,0.4
08:00:00,32.075,34.791,14,4,0.3
08:00:00,32.076,34.834,9,3,0.3
08:00:00,32.078,34.842,11,3,0.3
08:00:00,32.079,34.814,11,2,0.5
08:00:00,32.08,34.834,12,4,0.3
08:00:00,32.08,34.835,6,2,0.3
08:00:00,32.08,34.87,8,2,0.4
08:00:00,32.081,34.812,13,4,0.3
08:00:00,32.081,34.815,11,2,0.5
08:00:00,32.081,34.835,6,2,0.3
08:00:00,32.083,34.805,13,3,0.4
08:00:00,32.083,34.903,6,2,0.3
08:00:00,32.084,34.806,22,7,0.3
08:00:00,32.086,34.815,8,2,0.4
08:00:00,32.088,34.807,15,5,0.3
08:00:00,32.088,34.839,7,2,0.3
08:00:00,32.088,34.893,6,2,0.3
08:00:00,32.088,34.894,12,3,0.4
08:00:00,32.09,34.821,9,3,0.3
08:00:00,32.09,34.839,7,2,0.3
08:00:00,32.09,34.88,6,2,0.3
08:00:00,32.091,34.831,6,2,0.3
08:00:00,32.091,34.868,9,3,0.3
08:00:00,32.091,34.869,6,2,0.3
08:00:00,32.091,34.87,19,5,0.3
08:00:00,32.092,34.847,6,2,0.3
08:00:00,32.092,34.862,6,2,0.3
08:00:00,32.092,34.863,32,9,0.3
08:00:00,32.092,34.864,36,7,0.5
08:00:00,32.092,34.865,12,3,0.4
08:00:00,32.092,34.866,6,2,0.3
08:00:00,32.094,34.883,11,2,0.5
08:00:00,32.094,34.884,14,2,0.7
08:00:00,32.094,34.885,6,2,0.3
08:00:00,32.094,34.89,10,2,0.5
08:00:00,32.095,34.886,34,8,0.4
08:00:00,32.095,34.887,20,5,0.4
08:00:00,32.099,34.825,6,2,0.3
08:00:00,32.105,34.864,22,2,1.1
08:00:00,32.105,34.891,16,2,0.8
08:00:00,32.11,34.837,8,2,0.4
08:00:00,32.138,34.835,20,2,1.0
08:00:00,32.139,35.008,18,2,0.9
